"","input_bc","input_low","input_high","costs_low","costs_high","cost_bc","deaths_low","deaths_high","deaths_bc","od_deaths_low","od_deaths_high","od_deaths_bc","group","cost_range","deaths_range","od_deaths_range","name"
"75",1e-04,7.5e-05,0.000125,670098456912.492,670206168985.779,670152374271.406,4516306.44731695,4517813.98406482,4517060.87241281,117084.171397733,118213.376466252,117649.312267207,"BN_CHRONIC",107712073.287109,1507.53674786445,1129.2050685189,"p_BI_ILLICIT"
"76",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BS_DETOX"
"77",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BS_OAT_INI"
"78",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BS_OAT_MAINT"
"79",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BS_OAT_SS"
"80",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BS_SS"
"81",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BO_OD_ILLICIT"
"82",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BO_OD_RX"
"83",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BO_MOD_BI"
"84",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BO_SEVERE_BI"
"85",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BO_SEVERE_BI_OUT"
"86",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BO_OD_DEATH"
"87",4e-04,3e-04,5e-04,671507775298.446,668806019306.652,670152374271.406,4445605.81847423,4587802.5009844,4517060.87241281,117858.098458501,117441.719480367,117649.312267207,"BN_CHRONIC",2701755991.79468,142196.682510172,416.378978133784,"p_BO_DEATH"
"88",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BR_ILLICIT"
"89",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BR_OAT_INI"
"90",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BR_OAT_MAINT"
"91",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BR_OAT_SS"
"92",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BR_SS"
"93",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CHRONIC",0,0,0,"p_BR_OD_ILLICIT"
"94",1e-04,7.5e-05,0.000125,670158407919.252,670146341263.657,670152374271.406,4517108.73577882,4517013.01417627,4517060.87241281,117649.465312,117649.159238292,117649.312267207,"BN_CANCER",12066655.5947266,95.7216025469825,0.306073707601172,"p_BN_PN"
"95",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CANCER",0,0,0,"p_BN_ACUTE"
"96",3.13e-05,2.3475e-05,3.9125e-05,670153903381.538,670150845212.88,670152374271.406,4517075.93669078,4517045.80864578,4517060.87241281,117649.292675508,117649.331858321,117649.312267207,"BN_CANCER",3058168.65783691,30.128044994548,0.0391828134306706,"p_BN_CHRONIC"
"97",999,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CANCER",0,0,0,"p_BN_CANCER"
"98",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CANCER",0,0,0,"p_BN_OTHER"
"99",0.0006695,0.000502125,0.000836875,670190221031.298,670114555041.969,670152374271.406,4516733.33763293,4517388.15577576,4517060.87241281,117650.612171347,117648.013280015,117649.312267207,"BN_CANCER",75665989.3283691,654.818142823875,2.59889133210527,"p_BN_PALLIATIVE"
"100",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CANCER",0,0,0,"p_BPO_ACUTE"
"101",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CANCER",0,0,0,"p_BPO_CHRONIC"
"102",0.55,0.459,0.642,669333794998.799,670754080136.186,670152374271.406,4519513.20262819,4515258.10570144,4517060.87241281,117607.342352069,117680.22227402,117649.312267207,"BN_CANCER",1420285137.38696,4255.09692675807,72.87992195072,"p_BPO_CANCER"
"103",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CANCER",0,0,0,"p_BPO_OTHER"
"104",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CANCER",0,0,0,"p_BPO_PALLIATIVE"
"105",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CANCER",0,0,0,"p_BPO_MISUSE"
"106",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CANCER",0,0,0,"p_BI_ILLICIT"
"107",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_CANCER",0,0,0,"p_BS_DETOX"
